Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
24414,9.0,438,8,10,12,0,0,0,0,19,4,-2479,0
26893,8.8,429,12,19,8,5,1,2,1,16,5,2479,1
26447,8.4,389,15,13,12,5,0,0,1,15,4,-2081,0
28528,8.8,387,12,16,15,2,0,1,0,20,5,2081,1
29646,9.0,443,18,29,9,10,1,1,1,16,3,5366,1
24280,8.6,424,9,10,18,2,0,1,0,13,7,-5366,0
30127,9.2,439,17,20,10,8,2,0,1,18,8,4752,1
25375,8.4,392,10,7,17,6,0,0,0,17,0,-4752,0
31127,9.0,435,18,20,6,9,1,1,1,22,6,7991,1
23136,8.8,432,6,7,18,0,0,0,0,16,1,-7991,0
23099,8.6,416,8,9,8,3,0,0,0,17,4,-1734,0
24833,8.4,412,8,14,8,6,1,1,1,16,5,1734,1
24673,9.0,466,8,7,10,3,0,1,0,17,5,-1317,1
25990,8.6,391,10,8,8,5,0,0,1,14,1,1317,0
30290,9.0,461,17,18,5,6,2,1,1,19,8,7892,1
22398,8.0,396,5,5,17,2,0,0,0,19,9,-7892,0
31424,9.2,458,16,20,5,10,3,1,1,17,5,10147,1
21277,8.8,363,5,4,16,0,0,0,0,20,4,-10147,0
20661,7.8,311,6,8,9,3,0,1,0,13,0,-8577,0
29238,9.4,407,9,17,6,10,4,0,1,19,3,8577,1
27663,9.2,442,14,18,5,5,1,1,1,19,6,6032,1
21631,8.6,412,5,7,14,1,0,1,0,20,3,-6032,0
28844,8.8,394,18,13,15,6,1,1,0,11,3,-136,0
28980,8.8,403,15,18,18,8,1,0,1,21,4,136,1
27309,8.6,361,16,8,16,6,1,0,1,20,1,-1503,0
28812,8.4,398,16,13,16,9,1,1,0,21,2,1503,1
24241,8.8,371,11,17,16,0,0,0,0,16,3,-1818,1
26059,9.0,374,16,17,11,4,0,0,1,15,3,1818,0
22687,8.6,434,5,6,9,3,0,1,0,16,4,-3862,0
26549,9.0,438,9,12,5,3,1,0,1,21,5,3862,1
25902,8.2,369,12,16,15,5,1,2,0,22,2,-303,1
26205,8.8,350,15,18,12,3,0,0,1,15,4,303,0
26857,9.0,464,10,11,8,7,1,0,1,20,5,1803,0
25054,9.0,454,8,7,10,2,0,1,0,19,2,-1803,1
27230,8.8,393,14,24,10,2,0,1,1,20,2,2496,1
24734,9.0,401,10,9,14,4,0,1,0,24,4,-2496,0
27299,8.6,360,15,24,18,3,0,0,1,16,7,-1333,0
28632,9.0,478,18,14,15,4,0,2,0,12,7,1333,1
24760,9.0,447,7,6,8,2,0,0,0,22,2,-2141,0
26901,9.2,474,8,10,7,6,1,2,1,20,7,2141,1
23654,8.6,418,7,9,9,6,0,0,1,16,5,-142,1
23796,8.6,366,9,12,7,5,0,1,0,19,3,142,0
31203,9.4,458,18,13,8,10,2,1,1,24,7,8787,1
22416,8.0,353,8,10,18,0,0,0,0,23,4,-8787,0
25863,8.6,414,12,20,11,5,0,0,1,17,7,1074,1
24789,8.6,411,11,13,12,2,0,0,0,23,3,-1074,0
24099,8.6,424,10,8,12,2,0,1,0,25,4,-1132,0
25231,8.8,376,12,9,10,7,0,0,1,23,4,1132,1
24296,8.6,444,6,8,8,5,1,0,0,18,4,-82,1
24378,8.6,394,8,15,6,4,0,1,1,21,3,82,0
26409,9.0,422,11,14,8,2,1,0,1,18,5,1991,0
24418,8.8,429,8,11,11,1,0,1,0,19,5,-1991,1
24842,8.6,382,8,10,11,4,0,0,0,19,3,-1292,1
26134,9.2,440,11,11,8,3,0,1,1,19,3,1292,0
27849,8.4,423,11,12,11,10,2,1,1,18,2,2890,1
24959,9.2,441,11,8,11,4,0,1,0,19,2,-2890,0
20330,8.8,412,3,3,14,0,0,0,0,17,4,-10065,0
30395,9.4,504,14,16,3,8,2,1,1,21,5,10065,1
25941,8.8,434,9,10,7,4,1,0,0,20,3,1607,1
24334,8.6,437,7,11,9,3,0,0,1,16,3,-1607,0
23927,8.6,370,10,15,6,3,0,0,1,17,7,210,0
23717,8.6,416,6,8,10,5,1,0,0,20,6,-210,1
24747,9.0,406,11,13,7,3,0,1,0,20,3,532,1
24215,8.6,409,7,9,11,4,0,0,1,14,5,-532,0
25433,8.6,416,12,12,12,3,0,1,0,19,7,-635,0
26068,9.0,428,12,17,12,3,0,0,1,20,3,635,1
30719,9.4,470,20,21,2,11,2,1,0,21,3,10276,1
20443,8.4,378,2,2,20,2,0,0,1,13,5,-10276,0
24919,9.0,418,10,15,12,0,0,1,0,22,5,-431,0
25350,8.8,428,12,11,10,3,0,0,1,23,5,431,1
30927,9.2,430,18,21,6,9,2,0,1,12,7,8617,1
22310,8.6,398,6,5,18,0,0,0,0,13,2,-8617,0
29589,8.4,414,15,15,15,10,2,1,1,14,6,3263,1
26326,8.6,368,15,17,15,2,0,1,0,16,6,-3263,0
24349,8.2,360,11,14,12,4,0,0,1,15,3,-1909,0
26258,9.2,422,12,13,11,4,0,1,0,22,6,1909,1
27556,8.8,410,11,11,6,10,1,2,1,18,2,5803,1
21753,8.4,393,6,11,11,2,0,0,0,21,4,-5803,0
25154,8.8,414,12,15,19,3,0,0,0,11,5,-5137,0
30291,9.0,409,19,24,12,10,1,2,1,21,2,5137,1
24566,9.0,430,8,8,8,2,0,1,0,19,6,-1802,0
26368,9.2,469,8,10,8,4,1,1,1,17,3,1802,1
28723,9.2,459,11,10,9,6,1,1,1,22,3,4077,0
24646,8.8,398,9,17,11,0,0,1,0,22,1,-4077,1
25891,8.6,382,13,15,16,4,0,1,0,19,7,-4289,0
30180,9.0,460,16,20,13,5,1,1,1,11,1,4289,1
23020,8.2,376,4,8,12,5,1,0,1,18,6,-3566,0
26586,8.8,432,12,14,4,7,1,1,0,21,4,3566,1
27502,9.2,450,12,11,8,5,1,1,1,20,2,4726,1
22776,8.6,384,8,8,12,1,0,0,0,19,5,-4726,0
25296,8.4,418,9,14,15,2,0,0,1,17,2,-318,0
25614,9.0,409,15,15,9,1,0,2,0,17,1,318,1
22868,8.2,361,9,11,11,0,0,0,0,20,4,-3739,0
26607,8.8,441,11,10,9,5,1,2,1,15,6,3739,1
19579,7.6,367,1,2,18,0,0,0,0,19,3,-12480,0
32059,9.2,462,18,23,1,6,3,2,1,19,6,12480,1
25978,8.4,397,11,10,14,6,1,0,1,20,7,-838,1
26816,9.0,416,14,14,11,6,0,1,0,21,6,838,0
31987,9.0,368,22,26,20,10,2,1,1,19,6,4524,1
27463,8.8,370,20,19,22,1,0,1,0,14,6,-4524,0
26156,8.8,410,10,4,12,5,2,1,1,20,6,-620,1
26776,8.8,393,12,13,10,4,1,1,0,22,5,620,0
23986,8.4,389,8,7,14,3,0,0,0,12,4,-4225,0
28211,8.8,418,14,21,8,5,2,2,1,15,6,4225,1
27313,8.2,375,19,21,13,4,0,1,1,18,9,-470,1
27783,8.6,378,13,6,19,4,1,0,0,26,1,470,0
28258,8.8,460,12,11,9,6,1,1,0,16,6,4137,1
24121,8.8,335,9,13,12,0,0,0,1,19,1,-4137,0
24941,8.2,358,10,12,18,5,1,0,1,22,4,-3041,0
27982,8.8,393,18,16,10,6,1,1,0,16,4,3041,1
23638,8.4,330,11,6,20,2,0,0,0,16,1,-8783,0
32421,9.2,397,20,24,11,10,4,1,1,14,5,8783,1
25396,8.6,398,10,9,14,4,1,0,1,17,0,-4400,1
29796,9.6,413,14,14,10,6,3,1,0,20,3,4400,0
24643,9.0,453,7,6,12,2,0,0,1,21,4,-3296,0
27939,9.4,488,12,10,7,5,1,1,0,22,5,3296,1
33951,9.4,475,23,23,4,8,3,0,1,18,5,13850,1
20101,7.8,371,4,3,23,1,0,0,0,15,2,-13850,0
25846,9.0,415,9,7,11,6,1,2,1,24,2,-1199,1
27045,8.4,383,11,17,9,7,1,0,0,18,5,1199,0
26506,8.6,394,14,17,17,3,0,0,0,23,1,-2215,1
28721,8.4,372,17,19,14,5,2,1,1,24,8,2215,0
22420,8.4,363,6,6,14,2,0,0,0,17,4,-6850,0
29270,9.0,428,14,19,6,6,1,0,1,22,3,6850,1
25532,8.8,423,12,13,10,5,0,2,1,20,7,-1528,1
27060,8.8,442,10,17,12,4,1,0,0,13,4,1528,0
26528,8.6,352,13,29,12,1,0,1,0,19,6,-607,1
27135,8.4,411,12,23,13,5,1,1,1,13,7,607,0
24206,9.0,429,8,11,7,5,0,0,0,19,4,-1130,1
25336,8.4,413,7,11,8,5,1,2,1,17,6,1130,0
26844,8.8,415,14,10,8,6,1,1,1,15,8,3870,1
22974,8.4,398,8,11,14,2,0,0,0,17,1,-3870,0
23588,8.4,383,8,14,13,3,0,1,1,17,7,-3011,0
26599,8.6,434,13,18,8,4,0,1,0,18,5,3011,1
21826,8.2,369,6,5,19,1,0,1,0,26,11,-9372,0
31198,8.8,410,19,23,6,6,3,1,1,17,5,9372,1
23488,9.2,441,5,8,5,4,0,0,0,19,3,-53,0
23541,8.8,426,5,4,5,5,0,1,1,15,7,53,1
27760,9.0,424,11,11,14,9,1,0,1,24,8,1966,1
25794,8.4,411,14,14,11,0,0,0,0,18,5,-1966,0
32845,9.4,472,24,20,9,6,2,1,1,15,8,10468,1
22377,8.4,349,9,9,24,0,0,0,0,13,3,-10468,0
31022,8.4,393,17,31,13,8,2,0,1,22,7,5707,1
25315,8.0,355,13,19,17,4,0,0,0,20,4,-5707,0
29274,9.2,425,16,19,10,6,0,0,0,21,7,2151,1
27123,8.8,384,10,10,16,7,1,1,1,19,6,-2151,0
23779,8.6,428,6,5,11,2,0,1,0,18,6,-2588,0
26367,8.8,420,11,15,6,3,0,0,1,24,3,2588,1
26282,8.4,391,10,14,10,5,1,1,0,19,5,2575,1
23707,8.6,370,10,10,10,3,0,0,1,17,2,-2575,0
24397,8.4,387,8,8,19,2,0,1,0,19,4,-3858,0
28255,9.0,441,19,19,8,5,0,1,1,22,7,3858,1
29020,9.0,440,18,10,14,5,0,1,1,17,8,2679,0
26341,9.2,412,14,12,18,0,0,1,0,18,1,-2679,1
22873,8.2,388,4,6,13,3,0,0,1,20,7,-4831,0
27704,9.2,463,13,22,4,4,0,1,0,19,4,4831,1
26455,8.8,448,9,9,7,7,1,0,1,19,3,3772,0
22683,8.8,392,7,13,9,1,0,1,0,14,4,-3772,1
30784,9.0,445,23,18,14,8,1,1,0,19,5,4013,1
26771,8.0,308,14,16,23,7,1,0,1,20,2,-4013,0
28407,8.8,436,14,12,14,6,1,0,1,15,3,2070,0
26337,8.6,391,14,19,14,3,1,2,0,20,3,-2070,1
25185,8.2,334,13,13,19,6,0,0,1,18,5,-4221,0
29406,8.6,403,19,20,13,9,1,2,0,18,3,4221,1
22205,8.6,377,7,5,13,2,0,0,0,18,5,-4666,0
26871,9.0,370,13,13,7,7,1,2,1,26,5,4666,1
21580,8.6,393,5,8,14,1,0,1,0,15,2,-10272,0
31852,9.8,507,14,12,5,9,3,1,1,24,4,10272,1
25192,8.8,390,10,10,15,4,0,0,0,21,4,-1425,0
26617,9.2,420,15,9,10,5,0,2,1,16,3,1425,1
25773,8.6,399,10,10,11,4,1,0,1,13,5,-255,0
26028,9.0,385,11,10,10,5,1,1,0,19,8,255,1
23714,8.4,388,9,13,15,2,0,0,1,13,6,-6239,0
29953,9.2,452,15,15,9,8,2,2,0,17,4,6239,1
27989,8.0,326,17,35,20,2,0,1,0,14,6,-3554,1
31543,8.6,392,20,21,17,4,1,0,1,17,4,3554,0
23601,8.8,457,7,8,7,0,0,1,1,22,4,-1065,0
24666,9.2,465,7,5,7,6,0,1,0,22,5,1065,1
29942,8.6,392,22,25,15,5,0,1,0,15,5,-146,0
30088,8.2,372,15,25,22,8,2,0,1,18,6,146,1
26957,8.8,400,14,24,17,4,0,2,0,15,10,-673,1
27630,8.8,406,17,20,14,1,0,0,1,20,8,673,0
23782,9.0,487,6,10,6,1,0,0,0,15,3,-1080,0
24862,8.8,420,6,14,6,5,1,1,1,20,2,1080,1
21092,7.6,335,6,9,14,2,0,1,0,16,5,-10557,0
31649,8.8,452,14,21,6,10,4,0,1,22,4,10557,1
29994,9.2,411,15,18,10,10,2,2,1,18,2,6328,1
23666,8.8,370,10,9,15,1,0,0,0,18,2,-6328,0
27331,9.4,501,11,15,8,1,0,0,1,18,1,3571,1
23760,8.8,428,8,10,11,2,0,1,0,18,7,-3571,0
25362,8.6,443,9,8,15,6,1,0,1,15,1,-4233,0
29595,9.4,420,15,15,9,6,2,1,0,18,5,4233,1
25964,8.8,389,11,18,15,5,0,0,0,22,1,-4320,0
30284,9.4,479,15,18,11,5,2,1,1,16,5,4320,1
22667,8.4,417,3,3,16,3,0,0,1,22,4,-5457,0
28124,9.2,452,16,14,3,4,1,1,0,18,7,5457,1
