Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
25746,8.0,365,14,15,16,1,0,0,0,16,6,-3110,0
28856,8.8,420,16,13,14,6,1,1,1,23,2,3110,1
28515,8.8,438,19,24,11,6,0,0,1,17,6,3982,1
24533,8.4,365,11,15,19,3,0,1,0,25,8,-3982,0
22843,8.2,377,7,10,19,2,0,0,0,17,4,-8445,0
31288,9.2,459,19,20,7,9,2,1,1,18,5,8445,1
25905,9.0,436,10,11,12,3,0,1,0,17,3,-2280,0
28185,8.8,428,12,12,10,5,2,0,1,17,4,2280,1
28358,9.2,464,10,11,8,7,1,1,1,23,7,4637,1
23721,8.8,411,8,13,10,0,0,0,0,17,3,-4637,0
22553,8.8,420,4,5,8,2,0,0,1,22,9,-4418,1
26971,9.2,459,8,9,4,7,2,1,0,19,10,4418,0
23447,8.6,401,9,10,15,2,0,1,0,18,9,-4511,0
27958,9.2,415,15,16,9,4,1,0,1,20,6,4511,1
24690,9.0,415,9,12,8,3,0,1,1,21,2,979,1
23711,8.6,410,8,8,9,0,0,1,0,23,6,-979,0
21452,8.2,426,4,1,13,3,0,0,1,18,7,-6151,0
27603,9.0,457,13,20,4,2,1,1,0,22,7,6151,1
27615,8.6,380,18,21,14,4,0,0,0,19,3,2469,1
25146,8.4,315,14,11,18,2,0,0,0,17,2,-2469,0
25594,8.4,383,12,19,17,2,0,0,1,17,4,-3334,0
28928,8.8,407,17,23,12,3,1,2,0,20,5,3334,1
18266,8.0,334,1,2,19,0,0,0,0,16,2,-13729,0
31995,9.4,501,19,23,1,8,3,1,1,22,9,13729,1
28901,8.8,467,14,13,11,11,2,1,1,11,6,5245,1
23656,8.2,306,11,22,14,2,0,0,0,14,3,-5245,0
24191,8.8,428,8,3,13,3,0,0,0,14,3,-2025,1
26216,8.8,415,13,11,8,3,1,2,1,18,4,2025,0
29581,9.0,423,16,16,12,7,2,1,1,23,4,4658,1
24923,8.4,385,12,21,16,0,0,1,0,24,4,-4658,0
30223,9.4,457,16,16,6,11,3,2,1,21,7,8397,1
21826,8.4,357,6,6,16,1,0,0,0,21,3,-8397,0
23587,8.2,362,9,12,18,2,0,0,0,20,4,-8462,0
32049,9.2,453,18,19,9,10,3,1,1,17,2,8462,1
30713,9.4,435,20,29,8,3,0,2,1,17,3,7219,1
23494,8.4,400,8,8,20,1,0,0,0,17,4,-7219,0
21712,8.4,413,5,5,14,2,0,0,0,18,2,-6521,0
28233,9.4,496,14,10,5,6,1,1,1,20,8,6521,1
23346,8.8,429,7,12,10,2,0,0,0,20,6,-3483,0
26829,9.0,452,10,15,7,3,0,1,1,19,6,3483,1
25786,8.0,319,14,9,23,2,0,0,1,27,1,-4607,0
30393,8.6,352,23,27,14,7,2,1,0,24,7,4607,1
24108,8.8,378,9,8,13,4,0,0,0,16,3,-4096,0
28204,9.2,438,13,8,9,4,1,1,1,16,8,4096,1
20526,8.0,355,5,7,19,0,0,0,0,17,3,-14439,0
34965,9.8,518,19,14,5,13,4,1,1,24,1,14439,1
23525,8.8,440,7,10,8,3,0,1,0,20,3,-804,0
24329,8.6,429,8,10,7,4,0,0,1,19,4,804,1
22989,8.8,405,6,5,8,4,0,0,1,21,4,-2207,1
25196,9.2,482,8,8,6,3,0,1,0,24,3,2207,0
25158,8.8,413,12,11,11,5,0,2,1,18,6,-2322,1
27480,8.8,415,11,18,12,4,0,0,0,23,1,2322,0
26475,8.8,426,10,21,12,5,1,0,1,22,4,1875,1
24600,8.4,403,12,19,10,3,0,1,0,18,6,-1875,0
33160,9.2,412,26,32,15,10,2,1,1,24,4,5753,1
27407,8.6,358,15,12,26,3,0,0,0,26,1,-5753,0
27687,8.6,393,14,18,15,4,0,0,0,23,4,880,1
26807,8.4,344,15,26,14,4,0,1,1,14,4,-880,0
25773,8.6,385,11,12,20,5,1,0,1,17,3,-6082,0
31855,9.0,419,20,21,11,9,1,1,0,24,2,6082,1
22162,8.4,400,5,5,12,2,0,0,1,17,2,-5562,0
27724,9.2,435,12,17,5,5,1,1,0,25,2,5562,1
24856,8.8,383,10,8,7,5,0,1,1,18,2,2370,1
22486,8.6,377,7,7,10,1,0,0,0,18,5,-2370,0
30555,9.0,419,18,18,9,7,1,1,1,20,3,6870,1
23685,8.4,343,9,12,18,2,0,0,0,20,1,-6870,0
33014,9.0,420,22,26,14,7,3,0,1,20,4,6625,1
26389,8.6,333,14,17,22,1,1,1,0,16,5,-6625,0
21087,8.4,357,6,7,15,2,0,0,0,15,0,-9691,0
30778,9.4,461,15,14,6,9,3,2,1,20,1,9691,1
28786,9.0,436,12,17,12,5,1,0,1,21,2,2331,0
26455,9.0,423,12,15,12,6,0,1,0,20,1,-2331,1
26387,8.8,429,12,16,14,3,0,0,0,15,7,-1857,0
28244,8.8,446,14,18,12,7,1,1,1,13,7,1857,1
30001,8.8,377,19,20,10,6,1,0,1,20,4,5134,1
24867,8.6,422,10,12,19,2,0,2,0,16,4,-5134,0
24743,8.6,421,9,11,9,5,0,1,1,21,6,-1769,0
26512,9.2,429,9,10,9,3,0,0,0,22,4,1769,1
23654,8.8,474,4,5,7,4,0,1,1,20,5,520,1
23134,8.8,448,7,7,4,0,0,1,0,23,8,-520,0
25351,8.8,394,9,15,10,5,1,0,1,24,8,-670,0
26021,8.8,411,10,4,9,8,2,1,0,22,5,670,1
