Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
22884,8.0,362,8,11,11,2,0,0,0,15,8,-2420,0
25304,9.0,412,11,7,8,5,0,1,0,20,3,2420,1
25324,8.8,385,10,9,12,4,0,0,0,19,10,-505,1
25829,9.0,410,12,13,10,0,0,1,1,17,4,505,0
20157,7.2,266,8,7,16,1,0,0,0,12,4,-12277,0
32434,8.8,408,16,15,8,10,8,2,1,12,4,12277,1
25061,8.2,352,13,19,15,3,0,0,0,18,1,-2783,1
27844,8.6,407,15,11,13,6,1,1,1,15,6,2783,0
25390,8.2,349,13,13,10,2,0,0,1,18,3,-929,1
26319,8.8,436,10,8,13,10,1,1,0,16,6,929,0
26467,8.8,421,11,15,7,4,1,2,0,20,5,2438,0
24029,8.6,412,7,12,11,4,0,0,1,19,5,-2438,1
23340,8.6,392,6,11,8,5,0,0,1,18,3,-3016,0
26356,9.6,500,8,6,6,6,1,2,0,19,5,3016,1
25894,9.0,385,10,13,10,5,1,0,1,20,6,2081,0
23813,8.6,371,10,13,10,2,0,1,0,20,3,-2081,1
28142,8.8,430,13,9,5,10,2,2,1,17,5,7404,1
20738,8.4,364,5,4,13,3,0,0,0,15,1,-7404,0
28477,8.8,407,13,11,11,6,1,0,1,15,2,1861,0
26616,8.8,431,11,11,13,4,1,1,0,18,3,-1861,1
24701,8.4,390,9,7,14,4,0,0,0,19,3,-1994,1
26695,8.6,384,14,20,9,6,1,1,1,18,2,1994,0
24473,8.4,369,10,12,14,2,1,1,1,15,5,-3526,0
27999,8.6,427,14,14,10,4,1,1,0,17,2,3526,1
23275,8.6,375,6,7,12,6,1,1,1,19,7,-6168,1
29443,9.0,443,12,13,6,4,2,1,0,21,4,6168,0
25652,9.0,404,11,15,11,3,0,0,1,14,3,-1128,1
26780,9.0,442,11,9,11,4,1,1,0,23,4,1128,0
27040,9.0,421,12,18,7,3,0,1,1,20,3,2709,0
24331,8.6,416,7,6,12,4,0,1,0,19,3,-2709,1
26398,9.0,487,8,6,9,5,1,1,1,20,3,-127,1
26525,9.0,454,9,8,8,4,1,0,0,18,6,127,0
20506,8.2,361,4,6,16,0,0,0,0,18,3,-8803,0
29309,9.2,478,16,15,4,7,1,2,1,18,7,8803,1
30216,9.0,476,16,17,11,5,1,1,1,19,7,6319,1
23897,8.6,379,11,14,16,1,0,1,0,19,1,-6319,0
24442,8.6,362,11,11,13,1,0,1,0,15,6,-3956,0
28398,9.4,449,13,14,11,8,1,0,1,17,4,3956,1
24854,8.8,441,8,12,8,1,0,1,0,17,6,1228,1
23626,8.6,364,8,11,8,3,0,0,1,14,4,-1228,0
25664,8.8,371,16,18,9,2,0,1,0,21,5,-1676,0
27340,9.0,434,9,11,16,7,1,0,1,20,5,1676,1
26663,9.0,384,16,15,9,4,0,1,1,16,0,2297,0
24366,8.6,369,9,6,16,5,0,0,0,18,1,-2297,1
24847,9.0,442,12,12,3,3,0,1,0,16,2,2212,1
22635,8.6,411,3,3,12,5,1,0,1,22,2,-2212,0
25697,8.4,407,10,11,15,3,0,1,0,16,7,-3801,0
29498,9.4,436,15,12,10,6,1,0,1,19,1,3801,1
23073,8.6,375,7,6,7,6,0,0,1,20,5,799,0
22274,8.6,359,7,5,7,3,0,1,0,14,4,-799,1
28150,9.2,416,11,11,3,7,2,0,1,17,0,8056,1
20094,8.4,337,3,4,11,1,0,0,0,19,3,-8056,0
30264,9.0,411,19,21,7,7,2,1,1,14,7,7374,1
22890,8.6,331,7,7,19,1,0,0,0,15,0,-7374,0
26312,8.6,374,10,9,11,8,1,0,1,18,4,3303,1
23009,8.6,373,11,10,10,0,0,1,0,16,1,-3303,0
25643,8.8,378,10,8,13,4,1,0,1,17,3,-2555,1
28198,9.0,405,13,10,10,8,2,1,0,15,0,2555,0
27271,9.0,389,13,10,14,3,1,1,0,17,1,2342,0
24929,9.0,371,14,9,13,3,0,0,1,15,1,-2342,1
22545,8.6,442,6,7,11,1,0,0,0,19,4,-6788,0
29333,8.8,480,11,16,6,10,2,1,1,23,5,6788,1
30014,9.0,444,16,21,9,4,1,2,1,17,7,6446,1
23568,8.6,389,9,11,16,2,0,0,0,19,4,-6446,0
25197,9.4,409,11,13,5,2,0,1,0,23,3,1271,1
23926,8.4,426,5,4,11,3,1,1,1,24,5,-1271,0
31078,8.4,373,23,25,18,6,1,2,1,19,2,2316,1
28762,8.8,329,18,13,23,4,1,0,0,20,1,-2316,0
21354,8.0,348,6,5,12,3,0,0,1,12,6,-7448,0
28802,8.8,413,12,17,6,10,2,1,0,20,4,7448,1
23297,8.8,377,10,6,10,2,0,0,0,17,1,-746,0
24043,8.8,420,10,7,10,2,0,0,0,21,7,746,1
26143,9.0,413,13,14,7,2,0,1,0,19,5,2710,0
23433,8.8,406,7,2,13,3,0,0,1,17,4,-2710,1
23739,8.6,435,5,7,10,5,0,0,1,14,5,-577,1
24316,9.0,436,10,9,5,2,0,1,0,20,4,577,0
23067,8.4,395,7,7,8,2,0,0,0,18,2,-1836,0
24903,8.6,461,8,7,7,2,0,2,1,19,4,1836,1
24873,8.6,362,9,6,22,2,0,0,0,15,3,-5010,0
29883,8.8,399,22,27,9,7,1,1,1,17,5,5010,1
24934,9.0,406,7,8,12,4,1,1,0,18,4,-2551,0
27485,9.0,427,12,10,7,3,2,0,1,17,2,2551,1
24019,8.4,340,11,16,11,2,0,1,0,20,6,-692,1
24711,8.6,395,11,10,11,1,0,0,0,20,1,692,0
27419,8.4,354,14,8,20,4,1,0,0,14,7,973,0
26446,8.2,325,20,16,14,4,0,1,0,11,0,-973,1
27209,8.4,369,14,20,12,7,1,0,0,15,3,128,0
27081,8.2,348,12,19,14,5,1,1,1,19,1,-128,1
25497,8.2,376,11,14,8,3,0,1,1,16,2,2163,1
23334,8.2,382,8,8,11,3,0,0,0,16,4,-2163,0
25481,8.4,336,13,17,18,1,0,1,0,17,1,-3643,0
29124,8.6,404,18,27,13,5,1,0,1,19,0,3643,1
24501,8.6,392,10,13,14,3,0,0,1,18,6,-2550,0
27051,9.0,387,14,20,10,1,0,2,0,20,5,2550,1
24779,9.0,449,5,8,10,4,0,0,1,16,1,-423,0
25202,9.2,479,10,8,5,4,0,0,0,20,6,423,1
26297,9.2,411,13,15,20,1,0,0,0,19,4,-3341,0
29638,9.4,400,20,17,13,5,0,1,1,21,6,3341,1
20200,8.4,375,4,5,14,0,0,0,0,13,2,-9653,0
29853,9.2,503,14,13,4,11,2,2,1,15,1,9653,1
26375,8.6,394,11,10,8,7,1,0,1,21,4,1426,1
24949,8.6,413,8,12,11,2,1,1,0,19,5,-1426,0
27035,9.4,489,11,11,9,5,0,1,0,18,7,1612,1
25423,8.8,419,9,7,11,2,0,0,1,19,3,-1612,0
24998,8.8,443,7,8,7,6,0,0,1,17,6,1490,1
23508,8.6,409,7,12,7,1,0,1,0,22,6,-1490,0
24448,8.4,354,11,9,18,4,0,0,0,22,1,-3610,0
28058,9.0,382,18,15,11,5,1,1,1,21,4,3610,1
23496,8.8,421,7,11,11,3,0,1,0,13,6,-5352,0
28848,9.2,484,11,12,7,8,2,0,1,22,4,5352,1
29139,9.4,427,19,23,5,6,1,1,1,21,4,5913,1
23226,8.6,428,5,8,19,1,0,0,0,16,2,-5913,0
21950,8.6,367,5,6,10,3,0,0,0,16,2,-5971,0
27921,9.0,491,10,6,5,7,1,2,1,21,3,5971,1
31420,9.6,467,18,16,10,5,2,1,0,21,4,7354,1
24066,8.2,358,10,16,18,4,0,0,0,14,3,-7354,0
23860,8.6,416,6,9,11,3,0,1,0,18,2,-4936,0
28796,9.0,442,11,10,6,7,2,0,1,15,1,4936,1
25686,8.2,364,16,15,27,3,0,1,0,16,9,-5524,0
31210,8.8,350,27,22,16,10,1,1,1,14,8,5524,1
22677,8.4,399,5,5,9,3,0,1,0,19,5,-2077,0
24754,9.0,453,9,6,5,3,0,0,1,15,8,2077,1
26009,8.4,400,11,11,12,5,1,2,1,16,3,707,1
25302,8.6,380,12,11,11,5,0,0,0,16,1,-707,0
26781,8.4,358,14,15,11,5,1,0,1,14,3,2084,1
24697,8.6,384,11,8,14,2,0,1,0,16,1,-2084,0
22630,8.4,378,8,11,11,2,0,1,0,20,6,-4141,0
26771,9.0,431,11,5,8,6,1,1,1,17,2,4141,1
