Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
70694,16.4,1005,30,46,37,9,2,1,2,110,0
70584,16.4,981,37,54,30,9,3,1,1,-110,1
71653,16.4,941,43,77,39,4,2,1,0,-1276,0
72929,16.8,1004,39,71,43,4,3,1,2,1276,1
64858,16.0,1034,27,32,28,4,4,1,0,-3429,0
68287,16.2,931,28,41,27,7,1,1,2,3429,1
69161,16.6,1133,27,36,33,4,2,1,1,27,0
69134,16.4,1082,33,40,27,4,3,1,0,-27,1
71640,16.4,1075,31,43,32,10,1,2,1,-149,0
71789,17.2,1125,32,46,31,4,4,0,1,149,1
71646,16.6,940,36,66,33,4,2,1,0,-360,0
72006,17.0,1001,33,61,36,9,3,1,2,360,1
69161,16.2,1057,23,26,34,8,1,2,1,-4243,0
73404,16.8,1189,34,47,23,8,4,0,1,4243,1
73985,16.6,1086,43,43,35,12,3,1,0,1288,0
72697,16.4,1038,35,35,43,6,3,1,2,-1288,1
67626,16.6,968,27,37,36,2,2,0,1,-4702,0
72328,16.2,1009,36,46,27,10,3,2,1,4702,1
66344,16.4,1066,33,25,30,8,1,1,0,-4205,1
70549,16.8,1022,30,52,33,6,4,1,2,4205,0
76277,17.4,982,43,74,31,6,3,1,2,9082,1
67195,15.8,944,31,44,43,10,2,1,0,-9082,0
71969,16.2,972,37,53,38,7,3,0,1,1239,1
70730,16.0,943,38,62,37,9,1,2,1,-1239,0
75958,17.0,1118,36,54,34,10,2,2,1,3417,1
72541,16.6,1034,34,43,36,5,3,0,1,-3417,0
76221,17.6,926,46,52,40,7,3,2,1,3600,1
72621,16.6,1011,40,40,46,6,2,0,1,-3600,0
66238,15.8,892,29,40,51,9,1,1,1,-9143,0
75381,17.6,972,51,61,29,6,4,1,1,9143,1
62180,15.8,1006,20,28,21,5,2,1,0,-5929,1
68109,16.0,961,21,39,20,8,3,1,2,5929,0
68149,16.0,849,42,50,41,6,2,1,0,-4253,0
72402,16.6,954,41,66,42,8,3,1,1,4253,1
73263,16.4,942,39,46,48,10,2,2,1,-1935,0
75198,17.0,929,48,71,39,5,3,0,1,1935,1
65739,15.4,925,27,49,23,10,3,1,1,-534,0
66273,15.8,983,23,47,27,4,2,1,1,534,1
