Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Barons,Sight_wards,Control_wards,Gold_diff,Win
75192,17.4,826,44,89,38,1,10,3,0,1,59,1,1568,0
73624,17.0,902,38,44,44,1,7,3,1,0,78,2,-1568,1
74448,17.6,991,40,63,41,0,2,3,0,2,77,3,-9119,0
83567,17.6,1079,41,52,40,1,14,2,2,0,72,5,9119,1
79116,17.2,943,45,51,51,0,5,4,1,3,64,4,-1585,1
80701,17.8,948,51,64,45,0,12,3,1,0,57,9,1585,0
83912,17.8,1059,50,51,38,0,9,5,1,2,67,11,7778,1
76134,17.4,871,38,56,50,0,6,1,0,0,80,3,-7778,0
83586,17.8,960,51,44,55,0,8,5,1,2,71,2,525,0
83061,17.8,864,55,95,51,0,13,1,0,0,46,6,-525,1
76672,17.4,849,49,65,52,0,6,2,0,1,69,12,-6733,0
83405,18.0,1035,52,69,49,0,6,4,0,0,69,7,6733,1
79813,17.8,970,43,41,58,0,11,4,1,2,76,6,-8285,0
88098,17.8,1004,58,68,43,0,8,2,0,0,54,3,8285,1
83444,17.6,1050,45,74,23,0,14,3,2,2,54,22,12090,1
71354,16.8,1080,23,23,45,0,4,4,0,0,80,9,-12090,0
78012,17.8,839,53,80,34,0,6,4,1,2,70,7,5409,0
72603,16.6,907,34,41,53,0,11,3,0,0,60,5,-5409,1
85502,18.0,955,59,66,52,0,5,3,0,2,65,10,1371,1
84131,17.8,883,52,75,59,0,10,3,0,0,74,3,-1371,0
82654,17.4,883,56,64,67,0,8,4,2,2,52,4,-4085,1
86739,18.0,823,67,75,56,0,12,2,0,0,72,2,4085,0
