Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
61688,15.0,923,25,37,33,8,2,1,1,-3166,0
64854,15.4,892,33,47,25,9,3,1,1,3166,1
66952,15.8,855,42,74,36,4,2,1,0,301,0
66651,15.8,902,36,63,42,4,2,1,2,-301,1
65829,16.2,824,35,52,38,8,3,0,1,4426,1
61403,14.6,911,38,36,35,4,2,2,0,-4426,0
62088,15.0,820,34,42,27,8,2,0,1,-2012,0
64100,15.6,948,27,39,34,7,2,2,1,2012,1
60928,15.8,938,25,39,42,2,2,1,0,-8830,0
69758,16.4,888,42,59,25,10,2,1,1,8830,1
60434,15.4,939,27,32,23,4,3,1,0,1006,0
59428,14.8,865,23,31,27,4,1,1,1,-1006,1
60415,15.6,1020,22,29,29,3,2,1,1,-2546,0
62961,15.8,1006,29,33,22,4,3,1,0,2546,1
66809,15.6,989,30,43,28,8,1,2,1,3634,0
63175,15.6,1010,28,44,30,4,3,0,0,-3634,1
69591,16.2,953,38,63,36,5,3,1,1,2882,1
66709,15.0,970,36,33,38,8,2,1,1,-2882,0
61795,15.0,990,27,30,37,6,1,2,0,-5671,0
67466,16.4,887,37,54,27,8,4,0,2,5671,1
63602,15.4,848,30,54,31,4,2,1,0,-3817,0
67419,16.6,955,31,59,30,7,2,1,2,3817,1
65997,15.4,872,34,54,38,7,3,2,1,-3388,1
69385,16.0,996,38,47,34,6,2,0,0,3388,0
63103,15.4,948,22,25,33,8,1,2,1,-4785,0
67888,16.4,1072,33,44,22,8,4,0,1,4785,1
67717,15.8,1005,39,39,32,8,3,1,0,176,0
67541,16.2,986,32,34,39,3,2,1,2,-176,1
60447,15.6,866,25,32,35,1,2,0,1,-6826,0
67273,15.8,916,35,43,25,10,3,2,1,6826,1
68641,16.6,992,39,54,34,6,2,1,1,6398,1
62243,15.8,800,34,47,39,4,2,1,1,-6398,0
57469,15.6,968,27,19,26,4,1,1,0,-5856,1
63325,16.2,949,26,48,27,5,4,1,2,5856,0
64283,15.0,841,36,56,30,9,2,0,0,-1138,1
65421,15.4,940,30,35,36,7,2,2,1,1138,0
65942,15.8,872,35,53,31,6,3,1,1,1731,1
64211,15.6,905,31,44,35,10,2,1,0,-1731,0
66245,15.8,908,33,48,34,7,3,0,1,2742,1
63503,15.2,860,34,53,33,7,1,2,1,-2742,0
70000,16.4,1055,33,50,34,7,2,2,1,2168,1
67832,16.2,951,34,43,33,5,3,0,1,-2168,0
63361,15.8,793,35,49,45,2,1,0,2,-6907,0
70268,16.4,968,45,77,35,5,3,2,0,6907,1
58510,15.2,897,16,27,23,5,1,1,1,-2999,0
61509,16.0,940,23,33,16,7,4,1,1,2999,1
65064,15.6,872,34,35,21,10,2,2,1,5703,1
59361,15.2,844,21,31,34,3,2,0,1,-5703,0
66844,16.2,853,40,44,38,4,2,2,0,-1423,1
68267,16.0,945,38,40,40,6,2,0,1,1423,0
62265,15.2,840,28,39,45,8,1,1,1,-4376,0
66641,16.4,871,45,55,28,5,4,1,0,4376,1
60679,14.8,912,28,35,29,6,2,1,0,-3356,0
64035,15.2,925,29,39,28,5,3,1,1,3356,1
64481,15.0,853,31,41,47,5,1,0,0,-7300,0
71781,16.0,873,47,43,31,10,3,1,1,7300,1
67398,15.8,886,34,57,29,14,2,1,1,2332,1
65066,16.6,950,29,64,34,2,2,1,1,-2332,0
55783,15.0,959,15,14,16,5,2,1,0,-4483,1
60266,15.2,902,16,26,15,4,3,1,2,4483,0
61465,15.2,770,38,46,37,4,2,1,0,-5359,0
66824,15.6,872,37,62,38,8,2,1,1,5359,1
66506,15.8,866,35,40,41,6,2,2,1,-423,0
66929,15.6,843,41,58,35,5,3,0,1,423,1
60616,15.4,881,27,31,37,8,2,0,0,-6931,0
67547,16.0,942,37,55,27,7,3,2,1,6931,1
64938,15.2,925,35,39,39,7,2,1,1,-4821,0
69759,16.8,894,39,44,35,9,2,1,1,4821,1
63084,15.2,898,27,49,17,10,3,1,1,6365,0
56719,14.8,904,17,31,27,2,1,1,1,-6365,1
66820,15.8,756,39,36,37,12,3,1,1,4337,1
62483,15.6,879,37,52,39,2,1,1,0,-4337,0
66544,16.2,1013,27,36,30,4,2,1,2,1585,0
64959,15.6,1033,30,40,27,4,3,1,0,-1585,1
66359,16.0,904,37,63,32,6,2,0,1,-2981,0
69340,16.0,1026,32,44,37,6,2,2,1,2981,1
64198,15.8,1077,26,38,15,5,3,2,0,3472,1
60726,15.6,1046,15,15,26,10,2,0,1,-3472,0
