Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
26107,8.8,456,7,6,8,8,1,0,1,19,2,3427,1
22680,8.4,386,8,9,7,0,0,1,0,20,2,-3427,0
26172,8.6,425,10,13,10,2,1,0,1,18,5,1677,0
24495,8.4,400,10,15,10,2,0,1,0,18,5,-1677,1
24274,8.6,332,14,14,12,1,0,1,0,18,3,-4991,0
29265,8.8,407,12,16,14,7,4,0,1,19,1,4991,1
27534,8.6,443,10,15,11,4,2,0,1,15,9,2871,1
24663,8.2,396,11,20,10,0,0,1,0,23,6,-2871,0
23594,8.8,402,6,6,17,4,0,0,0,25,1,-7752,0
31346,9.4,468,17,20,6,9,2,2,1,21,6,7752,1
25321,9.0,445,9,11,12,3,0,1,1,22,2,-1788,1
27109,8.8,408,12,9,9,8,1,1,0,22,9,1788,0
22838,9.0,459,3,3,7,6,0,1,1,20,6,-2283,1
25121,9.0,487,7,3,3,4,1,1,0,21,5,2283,0
23658,8.4,423,5,8,6,5,0,1,0,22,2,-229,0
23887,8.8,439,6,8,5,3,0,0,1,18,8,229,1
21706,8.4,418,5,11,10,0,0,0,1,18,3,-3887,1
25593,8.8,455,10,18,5,3,0,1,0,16,3,3887,0
24907,8.6,393,9,11,15,1,0,1,0,22,3,-2266,0
27173,9.0,424,15,8,9,7,1,1,1,21,4,2266,1
24707,8.6,408,9,17,13,3,0,1,0,26,2,-3901,0
28608,8.8,433,13,11,9,5,2,0,1,26,8,3901,1
20661,8.0,382,4,8,14,0,0,1,0,15,3,-10152,0
30813,9.6,467,14,17,4,9,2,0,1,24,6,10152,1
25305,8.6,432,7,10,13,6,1,0,1,19,9,-2596,0
27901,9.2,446,13,16,7,2,0,1,0,18,5,2596,1
24854,8.8,375,11,12,13,1,0,0,0,19,4,-3221,0
28075,9.2,430,13,14,11,6,0,0,0,21,6,3221,1
19714,7.8,340,3,4,25,2,0,0,0,17,1,-12301,0
32015,9.4,426,25,31,3,6,1,1,1,19,3,12301,1
26306,9.0,440,10,12,12,5,0,1,1,19,7,864,0
25442,8.6,383,12,22,10,1,0,1,0,25,6,-864,1
26537,8.6,365,16,20,12,4,0,2,1,14,6,424,0
26113,8.2,403,12,4,16,7,1,0,0,16,3,-424,1
24707,8.2,366,11,16,17,3,0,0,0,21,5,-4110,1
28817,8.8,403,17,23,11,3,0,2,1,15,6,4110,0
25482,8.8,380,14,25,6,1,0,1,1,13,9,2342,0
23140,8.8,420,6,6,14,1,0,1,0,22,6,-2342,1
22233,8.8,419,2,1,10,4,1,0,0,18,0,-5751,0
27984,9.2,461,10,7,2,8,1,2,1,25,8,5751,1
29583,8.8,452,16,14,15,5,1,1,1,14,9,2987,0
26596,8.4,355,15,17,16,4,0,0,0,22,5,-2987,1
23427,8.6,431,6,3,10,4,0,0,1,19,5,-4321,0
27748,8.8,474,10,9,6,6,1,1,0,26,7,4321,1
25639,9.0,429,8,12,4,6,0,0,0,18,5,1302,0
24337,9.0,467,4,3,8,3,1,2,1,19,3,-1302,1
27875,9.2,459,11,7,7,8,2,0,1,18,5,4398,1
23477,8.6,452,7,10,11,0,0,2,0,20,4,-4398,0
26177,8.4,462,9,13,8,3,1,1,1,20,3,3051,1
23126,8.4,414,8,12,9,3,0,0,0,20,6,-3051,0
28685,9.0,423,16,22,11,5,0,0,1,14,7,2717,1
25968,8.6,409,11,21,16,1,0,1,0,23,8,-2717,0
31202,9.4,441,19,16,8,7,2,0,1,18,4,6812,1
24390,8.6,422,8,7,19,5,0,1,0,15,5,-6812,0
23964,8.2,436,3,6,6,4,1,1,0,21,2,-1150,0
25114,9.2,465,6,5,3,4,1,1,1,24,6,1150,1
22880,8.6,443,4,4,8,1,0,0,0,21,6,-457,0
23337,8.4,405,8,14,4,1,0,2,1,17,6,457,1
22530,8.6,420,6,6,10,2,0,0,0,18,7,-2697,0
25227,8.8,434,10,12,6,1,0,1,1,19,6,2697,1
25203,8.4,394,8,6,26,3,1,1,1,16,3,-5798,0
31001,9.0,417,26,15,8,7,1,0,0,10,5,5798,1
22874,8.6,417,7,13,8,3,0,1,0,17,3,-3967,0
26841,8.8,455,8,9,7,6,1,1,1,20,5,3967,1
28107,9.2,459,14,12,9,6,1,1,0,16,3,1389,1
26718,8.8,415,9,7,14,8,1,0,1,21,4,-1389,0
23604,8.4,399,5,5,15,4,0,0,1,16,7,-4353,0
27957,9.2,442,15,14,5,6,1,1,0,18,5,4353,1
25575,8.6,318,14,10,19,4,0,0,0,16,2,-5650,0
31225,8.8,444,19,12,14,10,2,1,1,16,5,5650,1
24189,8.4,413,8,8,12,1,0,0,0,14,3,-4143,0
28332,9.2,459,12,11,8,7,1,1,1,14,3,4143,1
