Gold,Level,Minions,Kills,Assists,Deaths,Towers,Dragons,Heralds,Barons,Gold_diff,Win
57188,14.2,719,37,67,34,2,2,1,1,-1399,0
58587,14.4,793,34,60,37,4,2,1,0,1399,1
56040,14.6,725,32,45,36,4,2,0,0,780,1
55260,13.8,791,36,34,32,4,2,2,0,-780,0
56022,14.6,884,21,28,29,5,0,1,1,-2837,0
58859,14.8,936,29,49,21,8,4,1,0,2837,1
59145,15.2,885,25,26,22,8,3,0,1,5880,1
53265,14.8,846,22,26,25,4,1,2,0,-5880,0
56186,14.8,807,25,21,43,3,2,1,1,-7077,0
63263,15.4,842,43,45,25,10,2,1,0,7077,1
56731,15.0,809,33,26,27,8,0,2,1,2088,1
54643,14.6,803,27,42,33,3,3,0,0,-2088,0
61763,14.2,732,39,63,44,3,3,0,1,-931,1
62694,13.8,699,44,58,39,9,1,2,0,931,0
54305,14.0,782,20,28,37,2,1,0,2,-7544,0
61849,15.0,817,37,46,20,10,3,2,0,7544,1
61618,14.8,734,45,62,28,7,1,1,1,6705,1
54913,14.2,737,28,36,45,3,3,0,0,-6705,0
53437,13.8,803,22,38,29,5,0,2,1,-4662,0
58099,14.4,831,29,47,22,7,3,0,0,4662,1
55815,14.4,797,29,22,32,5,1,2,1,422,0
55393,14.4,811,32,40,29,6,3,0,0,-422,1
54189,14.2,744,30,32,25,6,2,0,1,-2772,0
56961,14.4,857,25,36,30,7,1,2,0,2772,1
51170,14.0,831,19,26,34,1,2,1,1,-9794,0
60964,14.8,808,34,45,19,9,1,0,0,9794,1
52747,14.4,742,23,44,34,2,1,0,2,-10683,0
63430,15.0,847,34,47,23,13,3,2,0,10683,1
51417,14.2,790,24,31,22,2,3,1,0,-207,0
51624,13.4,742,22,30,24,4,1,1,0,207,1
50560,13.8,893,20,26,26,2,2,1,0,-4749,0
55309,14.4,888,26,29,20,4,2,1,0,4749,1
57450,13.8,754,31,40,38,9,1,1,2,-1925,0
59375,15.2,712,38,55,31,4,2,1,0,1925,1
54044,13.4,795,18,33,30,3,0,1,1,-3606,0
57650,14.4,901,30,40,18,7,4,1,0,3606,1
55134,14.8,806,32,42,35,3,1,1,1,-5723,0
60857,15.0,797,35,55,32,5,2,1,0,5723,1
58407,14.2,781,30,43,33,7,2,2,1,41,0
58366,14.2,808,33,60,30,4,2,0,0,-41,1
56911,14.6,873,24,33,22,5,1,2,1,3269,0
53642,14.0,884,22,27,24,4,3,0,0,-3269,1
57777,14.2,820,29,44,35,4,2,1,1,-3906,1
61683,14.6,894,35,33,29,6,2,1,0,3906,0
55348,13.8,866,26,28,28,6,1,2,1,-2088,0
57436,14.4,813,28,41,26,7,3,0,0,2088,1
54159,14.0,759,25,43,24,2,1,1,1,-2142,0
56301,14.4,861,24,43,25,6,2,1,0,2142,1
52069,13.6,747,23,45,32,4,1,1,1,-6045,0
58114,14.6,814,32,64,23,6,3,1,0,6045,1
60455,15.0,934,30,52,24,7,1,2,1,4844,1
55611,14.2,821,24,29,30,6,3,0,0,-4844,0
65995,15.2,858,36,41,32,9,2,1,2,8302,1
57693,14.2,749,32,46,36,3,1,1,0,-8302,0
57132,14.4,765,31,37,29,4,1,0,1,1486,1
55646,13.8,797,29,33,31,5,2,2,0,-1486,0
59456,14.6,801,32,51,29,4,3,2,1,2305,1
57151,13.8,855,29,34,32,4,1,0,0,-2305,0
53630,14.0,860,20,24,25,5,1,2,1,-3422,0
